Radio-cuerda derecho, Arco derecho, Radio-cuerda izquierdo, Arco izquierdo, Estatura estimada derecha, Estatura estimada izquierda, Estatura real 
1.654, 17.570, 1.645, 17.360, 157.666, 159.391, 152.3
1.647, 16.900, 1.642, 16.990, 155.537, 157.039, 156.2
1.649, 17.230, 1.659, 17.160, 156.475, 158.609, 159.2
1.890, 19.200, 1.936, 19.600, 179.650, 182.179, 183.4
1.696, 17.740, 1.657, 18.260, 161.293, 165.262, 172.3
1.836, 18.820, 1.872, 18.630, 174.603, 174.253, 172.9
1.921, 19.260, 1.930, 19.590, 182.172, 181.930, 186.0
1.815, 18.800, 1.800, 18.280, 172.945, 169.862, 176.8
1.638, 17.150, 1.654, 17.200, 155.440, 158.697, 156.3
1.737, 16.970, 1.719, 17.200, 162.610, 160.732, 162.8
1.611, 16.100, 1.630, 16.600, 150.873, 154.282, 151.9
1.749, 17.910, 1.810, 17.830, 165.765, 167.428, 167.8
1.598, 17.010, 1.603, 17.090, 152.038, 156.428, 161.5
1.722, 18.600, 1.714, 18.660, 165.332, 169.489, 175.1
1.776, 17.780, 1.759, 17.840, 167.528, 165.892, 163.6
1.678, 17.000, 1.690, 16.870, 158.154, 157.809, 157.3
1.799, 18.410, 1.801, 18.300, 170.790, 170.015, 171.3
1.613, 16.750, 1.616, 16.410, 152.571, 152.684, 152.3
1.701, 17.180, 1.721, 17.020, 160.346, 159.696, 161.2
1.855, 18.460, 1.861, 18.540, 175.206, 173.359, 175.1
1.687, 17.130, 1.764, 18.020, 159.153, 167.147, 155.8
1.788, 18.000, 1.716, 18.400, 168.971, 167.964, 165.3
1.697, 16.650, 1.674, 17.360, 158.780, 160.300, 162.1
1.827, 19.030, 1.867, 18.230, 174.412, 171.655, 164.0
1.642, 16.300, 1.628, 16.810, 153.728, 155.501, 152.8
1.822, 19.080, 1.812, 18.810, 174.147, 173.473, 173.2
1.740, 17.320, 1.720, 17.010, 163.672, 159.603, 160.3
1.730, 17.250, 1.749, 17.420, 162.738, 163.015, 163.1
1.732, 16.950, 1.679, 17.460, 162.179, 161.067, 161.8
1.771, 17.280, 1.741, 17.530, 165.956, 163.436, 169.4
1.696, 17.280, 1.701, 17.150, 160.200, 159.863, 161.0
1.850, 18.700, 1.829, 18.880, 175.393, 174.433, 173.8
1.805, 18.530, 1.798, 18.530, 171.535, 171.326, 175.3
1.890, 19.100, 1.780, 19.110, 179.413, 174.303, 179.8
1.732, 17.910, 1.736, 17.930, 164.460, 165.721, 169.7
1.733, 17.810, 1.712, 18.030, 164.299, 165.580, 165.0
1.742, 17.390, 1.747, 17.990, 163.992, 166.432, 161.4
1.685, 17.460, 1.695, 17.550, 159.784, 162.117, 158.1
1.705, 17.300, 1.723, 17.670, 160.939, 163.727, 165.1
1.784, 18.110, 1.783, 18.240, 168.926, 169.085, 169.0
1.882, 18.840, 1.854, 18.830, 178.181, 174.911, 175.8
1.742, 18.600, 1.732, 18.890, 166.867, 171.457, 163.8
1.752, 17.490, 1.750, 17.600, 164.997, 164.145, 163.3
1.765, 17.510, 1.699, 17.570, 166.042, 162.365, 174.8
1.756, 17.900, 1.743, 17.900, 166.278, 165.757, 165.7
1.630, 16.610, 1.596, 16.430, 153.543, 152.179, 149.8
1.903, 19.790, 1.945, 20.050, 182.050, 185.208, 184.3
1.759, 18.880, 1.770, 19.120, 168.837, 174.051, 168.1
1.645, 16.500, 1.638, 16.500, 154.433, 153.922, 153.5
1.630, 17.860, 1.660, 16.460, 156.513, 154.367, 156.5
1.696, 16.570, 1.678, 17.240, 158.513, 159.692, 153.5
1.780, 18.260, 1.764, 17.960, 168.975, 166.781, 167.2
1.680, 16.502, 1.677, 17.070, 157.124, 158.623, 159.4
1.782, 18.500, 1.768, 18.430, 169.699, 169.776, 166.7
1.841, 17.810, 1.776, 18.220, 172.587, 168.744, 171.1
