Evaluador,Obsevación,N Modelo,ID,Instrumento,Edad,Sexo,Estatura,Lugar_origen,mm 11,mm 12,mm 13,mm 21,mm 22,mm 23,mm 13 - 11,mm 23 - 21,Distancia_intercanina mm 13 - 23,mm 41,mm 42,mm 43,mm 31,mm 32,mm 33,mm 43 - 41,mm 33 - 31,Distancia_intercanina mm 43 - 33
1,1,1,1,Verniere,21,F,"1,6",CDMX,8.92,6.79,7.9,9.02,7.26,8.04,22.87,23.25,37.37,5.07,6.4,6.75,5.35,6.51,7.16,19.01,18.83,29.21
1,1,2,2,Verniere,21,F,"1,56",CDMX,8.27,6.74,7.37,8.29,7,7.06,22.46,22.24,34.74,5.02,5.66,6.67,5.01,5.62,6.05,15,17.01,25.77
1,1,3,3,Verniere,25,F,"1,67",CDMX,8.53,8.33,8.3,8.76,8.22,8.82,25.45,25.5,39.29,5.71,6.36,7.7,5.57,6.68,7.59,19.66,19.76,30.01
1,1,4,sin codigo,Verniere,22,F,"1,67",Guanajuato,8.8,8.11,8.06,8.74,8.2,7.91,25.72,25.48,39.31,5.68,6.37,7.36,8.58,6.51,7.25,19.7,19.9,29.46
1,1,5,4,Verniere,21,F,"1,5",Estado de México,7.16,6.04,7.33,7.64,5.71,7.04,21.07,20.45,33.71,4.57,5.47,5.85,4.62,5.45,6.21,16.49,15.31,24.88
1,1,6,5,Verniere,21,F,"1,68",CDMX,8.07,7.02,8.42,7.72,6.79,8.16,23.54,22.9,29.7,5.15,5.4,6.59,4.97,5.4,6.9,18,17.51,29.05
1,1,7,sin codigo,Verniere,22,M,"1,6",Estado de México,8.2,7.7,7.9,8.33,7.36,8.02,23.57,23.9,34.9,5.07,6.46,7.06,5.42,6.38,7.16,19.06,19.07,27.37
1,1,8,6,Verniere,21,M,"1,76",CDMX,7.91,6.52,7.52,7.8,6.3,7.58,22.94,22.73,33.53,4.87,5.3,6.26,4.88,5.76,6.09,16.65,17.15,26.01
1,1,9,7,Verniere,21,F,"1,59",CDMX,8.08,6.76,7.69,7.78,6.22,7.89,22.38,21.87,37.25,5.2,5.93,7.03,5.07,5.5,6.45,16.05,15.92,26.66
1,1,10,8,Verniere,,F,"1,56",-,8.96,7.35,8.2,9.12,7.84,7.91,24.65,24.8,36.98,5.68,6.58,7.23,5.78,6.05,7.31,16.83,17.74,27.36
1,1,11,9,Verniere,21,F,"1,54",CDMX,9.08,7.63,8.88,8.85,7.57,8.22,24.46,24.56,40.27,5.19,6.26,7.6,5.8,5.89,6.83,17.79,18.96,31.45
1,1,12,10,Verniere,21,F,"1,59",Estado de México,8.46,6.56,7.37,8.11,7.14,7.75,22.71,22.13,35.11,5.78,6.43,6.82,5.84,6.35,6.23,16.41,17.16,27.8
1,1,13,sin codigo,Verniere,21,F,"1,64",Estado de México,8.97,7.08,8.28,9.38,7.21,0,24.8,0,0,5.1,6.23,6.42,5.52,5.8,6.5,17.76,17.7,25.67
1,1,14,11,Verniere,20,F,"1,5",Estado de México,8.36,7.22,7.62,8.47,7.52,7.27,22.87,23.51,37.32,5.57,6.28,6.6,5.55,6.23,6.71,16.93,17.7,28.2
1,1,15,12,Verniere,21,F,"1,57",CDMX,8.21,6.24,7.14,8.35,6.45,5.83,22.11,23,35.48,5.52,5.81,6.44,5.4,6.05,6.48,17.38,16.84,24.9
1,1,16,13,Verniere,22,F,"1,5",CDMX,7.75,6.64,7.74,8.06,7.03,7.5,20.3,20.72,33.44,4.8,5.71,6.66,5.51,5.64,6.5,15.66,15.92,25.14
1,1,17,14,Verniere,20,F,1.42,CDMX,8,7.36,8.48,0,6.86,8.3,23,0,27.28,5.32,6.16,7.52,4.93,6.37,6.45,17.95,17.55,30.18
1,1,18,15,Verniere,21,M,"1,61",Estado de México,8.84,6.97,8.53,9.4,6.91,8.3,24.44,22.88,37.98,6.06,6.77,7.59,5.96,6.62,7.46,18.43,18.01,30.52
1,1,19,16,Verniere,18,F,"1,53",CDMX,7.48,6.85,8.25,8.81,7.21,0,22.1,0,0,5.5,6.77,6.61,5.56,6.09,6.7,18.31,18.16,28.17
1,1,20,17,Verniere,18,F,"1,6",CDMX,7.78,6.79,7.68,8.12,6.83,7.5,21.64,20.59,35.02,4.91,5.87,6.27,4.93,4.14,6.55,17.56,17.71,27.84
1,1,21,sin codigo,Verniere,19,F,1.56,CDMX,8.37,7.58,8.46,7.77,7.46,8.41,23.31,23.87,38.74,5.24,6.5,6.9,5.3,6.73,7.23,18.66,19.15,28.3
1,1,22,18,Verniere,20,F,"1,57",Estado de México,9.14,6.72,8.1,9.23,6.42,7.96,23.02,23.81,36.19,5.87,5.73,6.74,5.58,6,7.13,18.39,17.23,28.82
1,1,23,19,Verniere,19,F,"1,61",Querétaro,8.23,7.23,8.05,8.32,7.52,8.14,23.43,24.38,36.89,5.03,5.85,6.77,5.05,5.45,6.98,17.82,17.65,25.72
1,1,24,20,Verniere,19,F,"1,45",Estado de México,7.85,6.05,7.63,7.79,6.35,7.61,21.74,20.49,36.8,5.29,5.41,6.17,5.37,5.35,6.55,16.51,15.91,26.42
1,1,25,21,Verniere,18,M,"1,78",Estado de México,7.72,5.7,6.98,7.68,5.78,7.1,20.43,20.8,32.79,4.54,5.3,5.56,4.41,4.96,5.55,15.51,15.43,25.79
1,1,26,22,Verniere,19,F,"1,61",CDMX,7.07,7.15,7,8.25,6.88,7.08,21.76,22.23,36.33,4.98,5.41,6.13,5.12,5.47,5.49,15,16,24.82
