Evaluador,Obsevación,N_Modelo,ID,Instrumento,mm 11,mm 12,mm 13,mm 21,mm 22,mm 23,mm 13 - 11,mm 23 - 21,Distancia_intercanina mm 13 - 23,mm 41,mm 42,mm 43,mm 31,mm 32,mm 33,mm 43 - 41,mm 33 - 31,Distancia_intercanina mm 43 - 33
2,1,1,1,vernier,8.91,6.33,7.93,8.23,7.15,7.75,22.76,22.85,39.48,5.04,6.37,6.84,4.72,6.36,7.19,18.95,18.57,30.38
2,1,2,2,vernier,7.62,5.41,7.32,8.07,6.11,7.13,22.67,22.96,35.88,4.94,5.64,6.91,5.13,5.85,6.47,15.75,16.82,25.49
2,1,3,3,vernier,7.55,5.78,7.79,7.57,5.71,6.86,22.81,22.34,39.45,4.79,5.06,6.32,4.73,5.97,6.13,17.33,15.59,27.19
2,1,4,4,vernier,6.97,5.65,7.53,7.51,5.44,7.15,21.05,20.53,36.39,4.36,5.39,6.14,4.23,5.33,6.27,15.91,15.68,25.68
2,1,5,5,vernier,8.08,6.53,6.53,7.66,6.51,7.63,22.44,21.41,38.51,4.91,5.16,6.43,5.14,5.13,6.83,16.74,16.76,29.11
2,1,6,6,vernier,7.74,6.36,6.79,7.64,6.17,7.73,21.35,21.22,33.14,4.85,5.14,6.29,4.68,5.35,6.08,15.98,16.44,26.16
2,1,7,7,vernier,7.74,5.63,7.21,7.43,5.13,7.54,21.94,21.52,37.46,5.23,5.69,6.54,4.45,5.37,5.82,15.24,15.58,26.86
2,1,8,8,vernier,8.68,6.94,6.87,9.13,7.85,7.95,23.34,21.5,35.58,5.62,6.43,7.14,5.72,6.06,6.73,15.72,16.25,27.29
2,1,9,9,vernier,8.34,6.63,8.08,8.84,7.41,8.31,21.71,23.44,40.67,5.39,6.31,7.27,5.59,6.14,7.25,17.17,17.68,30.52
2,1,10,10,vernier,7.75,6.59,7.92,7.92,7.03,7.08,20.55,21.11,35.38,5.31,6.18,6.45,5.59,6.03,5.91,14.55,16.71,27.74
