Evaluador,Obsevación,N Modelo,ID,Instrumento,mm 11,mm 12,mm 13,mm 21,mm 22,mm 23,mm 13 - 11,mm 23 - 21,Distancia_intercanina mm 13 - 23,mm 41,mm 42,mm 43,mm 31,mm 32,mm 33,mm 43 - 41,mm 33 - 31,Distancia_intercanina mm 43 - 33
3,1,1,1,Vernier,8.6,6.68,8.15,8.49,7.24,8.27,23.11,23.47,39.38,4.97,6.48,6.98,4.96,6.35,7.19,19.01,18.94,29.15
3,1,2,2,Vernier,8.02,5.62,7.48,7.87,5.83,7.26,23.05,23.17,35.31,4.92,5.72,6.65,5.14,5.91,6.42,15.74,16.87,25.58
3,1,3,3,Vernier,8.15,6.21,8.01,7.87,5.84,6.39,23.55,22.61,37.72,4.89,5.77,5.18,4.58,5.72,5.72,17.74,17.22,27.79
3,1,4,4,Vernier,6.98,5.67,7.28,7.68,5.38,7.13,21.34,21.07,34.38,4.81,5.46,6.16,4.61,5.23,6.35,16.63,15.84,25.7
3,1,5,5,Vernier,8.04,6.77,8.18,7.74,6.67,8.07,23.52,23.16,39.77,5.13,5.22,6.51,5.16,5.37,6.86,17.99,17.92,29.23
3,1,6,6,Vernier,7.78,6.49,7.45,7.94,6.31,7.75,22.71,22.68,33.48,4.92,5.25,6.19,4.72,5.45,5.98,17.01,17.21,26.42
3,1,7,7,Vernier,7.95,6.72,7.92,7.88,6.02,7.68,22.99,22.41,37.19,5.17,5.95,6.87,5.18,5.57,6.67,16.99,16.52,26.67
3,1,8,8,Vernier,9.07,7.02,8.16,9.08,7.82,7.85,25.11,24.73,38.78,5.71,6.61,7.25,5.72,6.05,7.46,16.96,17.86,28.54
3,1,9,9,Vernier,9.91,7.52,9.05,9.02,7.76,8.59,24.36,24.49,40.99,5.38,6.48,7.27,5.24,6.84,7.53,18.61,19.12,31.81
3,1,10,10,Vernier,8.53,6.59,7.67,8.28,7.12,7.81,22.67,22.32,35.37,5.63,6.57,7.05,5.75,5.89,6.78,17.15,18.51,27.75
3,1,11,11,Vernier,7.78,7.15,7.45,8.23,7.24,7.15,23.23,23.68,39.08,5.03,6.38,6.59,5.72,5.98,6.78,17.31,17.66,28.36
3,1,12,12,Vernier,7.96,6.36,6.96,8.26,6.03,7.38,22.13,23.28,35.56,5.29,5.11,5.96,5.92,6.09,6.44,17.18,16.79,24.73
3,1,13,13,Vernier,7.68,6.24,7.62,7.89,7.04,7.51,21.49,21.51,32.59,5.24,5.38,6.33,5.24,5.49,6.33,15.69,15.95,25.13
3,1,14,14,Vernier,7.74,6.92,8.37,8.45,6.39,7.83,22.85,23.07,37.91,5.38,5.91,6.85,4.85,5.58,6.64,17.89,17.69,31.09
3,1,15,15,Vernier,8.87,6.78,8.21,8.97,6.73,7.88,24.93,24.95,38.44,6.03,6.44,7.5,5.86,6.37,7.14,18.65,18.35,30.76
3,1,16,16,Vernier,8.55,7.18,8.33,8.79,6.54,0,22.84,0,0,5.48,6.05,6.65,5.47,6.03,6.11,18.58,17.77,27.87
3,1,17,17,Vernier,7.86,6.14,7.25,7.98,6.19,7.65,22.71,22.99,35.62,5.12,5.53,6.26,5.08,5.54,6.43,17.84,17.33,27.74
3,1,18,18,Vernier,8.93,6.7,7.94,9.02,6.44,7.67,23.37,23.77,38.42,5.79,5.77,7.12,5.57,5.94,7.16,18.31,17.71,30.72
3,1,19,19,Vernier,8.34,7.17,8.34,8.46,7.37,8.37,23.5,24.34,37.51,5.12,5.27,6.16,5.02,5.24,6.17,17.28,17.94,27.18
