"Evaluador","Obsevación","N Modelo","ID","Instrumento","mm_11","mm_12","mm_13","mm_21","mm_22","mm_23","mm_13_11","mm_23_21","mm_13_23","mm_41","mm_42","mm_43","mm_31","mm_32","mm_33","mm_43_41","mm_33_31","mm_43_33"
1,1,1,3,"Calibrador",8.5,6.5,7.5,8.5,6,7,22,22,35.5,4.5,5.5,6.5,5,6,6.5,17,15.5,27
1,1,2,14,"Calibrador",8,7.5,8.5,8.5,7,7.5,22.5,22.5,36.5,5,6,7.5,5,6.5,6.5,17,17,30
1,1,3,18,"Calibrador",9,6.5,8,9,6.5,8,22,23,36,5.5,6,7,5.5,5.5,7,18.5,17,28.5
1,1,4,27,"Calibrador",9,6.5,7,9,7,7,23,22,36,5.5,6,6.5,5.5,6,6.5,17,17.5,27
1,1,5,50,"Calibrador",9.5,6.5,8,9,7.5,8,24,24.5,39,5.5,6,7,5.5,6.5,7.5,17.5,18,31
1,1,6,55,"Calibrador",8,5.5,7.5,8,5.5,7.5,21.5,21,34.5,5,5.5,6,5,5.5,6,16,16.5,27
1,1,7,60,"Calibrador",7.5,6.5,8,7.5,6,7.5,21.5,22,35,5,5.5,6.5,5,5.5,6,17,17,26.5
1,1,8,71,"Calibrador",8,6.5,7.5,7.5,6,7.7,22.5,21.5,36.5,5,5.5,6.5,5,5,6.5,16.5,16.5,27.5
1,1,9,76,"Calibrador",9,7,7.5,8.5,7,7.5,23.5,21,36,5.5,5.5,6,5.5,6,6.5,17,15,28
1,1,10,79,"Calibrador",8,7,NA,8,6.5,7.5,0,22,0,5,6,6.5,5,5.5,6,16,17,24
1,1,11,95,"Calibrador",8.5,6.5,7.5,8,7,7.5,23,22.5,34.5,5.5,6,6.5,5.5,6,6.6,16,17.5,24.5
1,1,12,116,"Calibrador",8.5,6,7.5,8.5,6,7.5,22.5,21,32.5,5,5.5,6.5,5,5.5,6.5,17,16.5,25.5
1,1,13,130,"Calibrador",8.5,6.5,8,8.5,7,8,22.5,23,38.5,6,7,6,6.5,5.5,7,19,20,29.5
1,2,1,3,"Calibrador",8.5,6.5,7.5,8,6.5,7,21.5,21.5,36.5,4.5,5.5,5.5,4.5,5.5,5.5,17,15.5,27
1,2,2,14,"Calibrador",8,7,8,8,6.5,8,22.5,22,36.5,5,6,6.5,4.5,6,6.5,17.5,16.5,30
1,2,3,18,"Calibrador",8.5,6.5,8,8.5,6,7.5,23,22.5,35.5,5.5,5.5,7,5.5,6,7,18.5,16.5,28.5
1,2,4,27,"Calibrador",9,6.5,7.5,8.5,7,7,22,23,36,5.5,6,6.5,5.5,6,6.5,17,17.5,26.5
1,2,5,50,"Calibrador",9,7,7.5,9,7,7.5,23,24.5,39.5,5.5,6,7,5.5,6,7.5,17.5,17.5,30.5
1,2,6,55,"Calibrador",8,5.5,7.5,7.5,5.5,7.5,21,21,34,4.5,5.5,6,5,5.5,6,16,16.5,26.5
1,2,7,60,"Calibrador",7.5,6.5,8,8,6,7.5,21.5,21.5,34.5,5,5.5,6.5,5,5.5,6.5,16.5,16.5,26
1,2,8,71,"Calibrador",8.5,6.5,7.5,7.5,6,7.5,23,22,35,4.5,5.5,6.5,4.5,5.5,6.5,17,16.5,27.5
1,2,9,76,"Calibrador",9,7,7.5,8.5,6.5,7.5,23.5,21,35.5,5.5,6,6,5.5,6,6.5,17,16,26.5
1,2,10,79,"Calibrador",8,7,NA,8.5,6.5,7.5,0,2,0,5,6,6.5,5,5.5,6.5,16.5,17.5,23
1,2,11,95,"Calibrador",8.5,7,7.5,8.5,7,7.5,23,22,24.5,5.5,6,6.5,5.5,6,6.5,16,17,24.5
1,2,12,116,"Calibrador",8.5,6.5,7.5,8,6.5,8,22.5,21.5,32.5,5,5.5,6,4.5,6,6.5,17,16.5,25.5
1,2,13,130,"Calibrador",8.5,6,8,8.5,7,8,22.5,23,37.5,6,7,6.5,7,6,7,19,21,30
