fuente,ID,Edad,Sexo,Estatura,Lugar_origen,mm_41,mm_42,mm_43,mm_31,mm_32,mm_33,mm_43_41,mm_33_31,intercanina_inf
Mediciones_Estatura,1,21.0,F,1.6,CDMX,5.07,6.4,6.75,5.35,6.51,7.16,19.01,18.83,29.21
Mediciones_Estatura,2,21.0,F,1.56,CDMX,5.02,5.66,6.67,5.01,5.62,6.05,15.0,17.01,25.77
datos_limpios_validados,3,25.0,F,1.67,Ciudad de México,5.375,5.84,6.25,4.825,5.595,6.245,17.195,16.865,27.245
Mediciones_Estatura,4,21.0,F,1.5,Estado de México,4.57,5.47,5.85,4.62,5.45,6.21,16.49,15.31,24.88
Mediciones_Estatura,5,21.0,F,1.68,CDMX,5.15,5.4,6.59,4.97,5.4,6.9,18.0,17.51,29.05
Mediciones_Estatura,6,21.0,M,1.76,CDMX,4.87,5.3,6.26,4.88,5.76,6.09,16.65,17.15,26.01
Mediciones_Estatura,7,21.0,F,1.59,CDMX,5.2,5.93,7.03,5.07,5.5,6.45,16.05,15.92,26.66
Mediciones_Estatura,8,,F,1.56,-,5.68,6.58,7.23,5.78,6.05,7.31,16.83,17.74,27.36
Mediciones_Estatura,9,21.0,F,1.54,CDMX,5.19,6.26,7.6,5.8,5.89,6.83,17.79,18.96,31.45
Mediciones_Estatura,10,21.0,F,1.59,Estado de México,5.78,6.43,6.82,5.84,6.35,6.23,16.41,17.16,27.8
Mediciones_Estatura,11,20.0,F,1.5,Estado de México,5.57,6.28,6.6,5.55,6.23,6.71,16.93,17.7,28.2
Mediciones_Estatura,12,21.0,F,1.57,CDMX,5.52,5.81,6.44,5.4,6.05,6.48,17.38,16.84,24.9
Mediciones_Estatura,13,22.0,F,1.5,CDMX,4.8,5.71,6.66,5.51,5.64,6.5,15.66,15.92,25.14
datos_limpios_validados,14,20.0,F,1.5,Estado de México,5.41,6.29,7.055,5.655,6.54,6.515,18.25,19.105,30.11
Mediciones_Estatura,15,21.0,M,1.61,Estado de México,6.06,6.77,7.59,5.96,6.62,7.46,18.43,18.01,30.52
Mediciones_Estatura,16,18.0,F,1.53,CDMX,5.5,6.77,6.61,5.56,6.09,6.7,18.31,18.16,28.17
Mediciones_Estatura,17,18.0,F,1.6,CDMX,4.91,5.87,6.27,4.93,4.14,6.55,17.56,17.71,27.84
datos_limpios_validados,18,21.0,M,1.61,Estado de México,5.825,5.84,6.955,5.6,5.895,7.135,18.73,17.885,29.38
Mediciones_Estatura,19,19.0,F,1.61,Querétaro,5.03,5.85,6.77,5.05,5.45,6.98,17.82,17.65,25.72
Mediciones_Estatura,20,19.0,F,1.45,Estado de México,5.29,5.41,6.17,5.37,5.35,6.55,16.51,15.91,26.42
Mediciones_Estatura,21,18.0,M,1.78,Estado de México,4.54,5.3,5.56,4.41,4.96,5.55,15.51,15.43,25.79
Mediciones_Estatura,22,19.0,F,1.61,CDMX,4.98,5.41,6.13,5.12,5.47,5.49,15.0,16.0,24.82
Mediciones_Estatura,23,30.0,F,1.57,CDMX,5.28,6.31,7.58,5.27,6.7,7.34,17.27,18.87,29.58
Mediciones_Estatura,24,23.0,F,1.56,CDMX,5.18,6.33,6.96,5.15,4.69,6.59,16.79,17.47,26.35
Mediciones_Estatura,25,19.0,F,1.57,CDMX,5.95,6.51,6.99,6.3,6.48,7.1,18.83,17.5,28.32
Mediciones_Estatura,26,18.0,F,1.55,Estado de México,5.36,5.28,8.84,5.17,6.1,6.55,15.72,17.08,26.53
datos_limpios_validados,27,30.0,F,1.57,Ciudad de México,5.725,6.3,6.615,5.745,6.16,6.44,17.74,18.095,27.97
Mediciones_Estatura,32,20.0,F,1.67,CDMX,5.56,6.51,7.41,4.68,6.4,7.42,17.62,17.83,25.7
Mediciones_Estatura,33,19.0,F,1.62,CDMX,5.26,5.39,6.79,4.97,6.08,6.56,17.3,17.58,28.49
Mediciones_Estatura,34,21.0,F,1.56,CDMX,4.96,5.32,6.43,4.9,5.72,6.42,17.15,17.9,26.86
Mediciones_Estatura,35,23.0,F,1.51,Estado de México,5.77,6.02,7.26,5.51,6.64,7.19,17.85,18.42,28.45
datos_limpios_validados,50,42.0,F,1.68,Ciudad de México,5.56,6.235,7.075,5.83,6.41,7.575,18.075,18.74,31.275
datos_limpios_validados,55,20.0,F,1.55,Ciudad de México,5.03,5.545,6.045,5.045,5.34,6.015,16.775,17.26,27.43
datos_limpios_validados,60,20.0,F,1.59,Ciudad de México,4.955,5.71,6.47,4.77,5.74,6.48,17.235,17.355,27.96
Mediciones_Estatura,69,18.0,M,1.71,Estado de México,5.46,6.06,6.14,4.87,5.89,6.32,16.98,17.23,25.79
Mediciones_Estatura,70,18.0,M,1.61,CDMX,5.39,5.48,7.19,5.4,5.9,6.92,18.12,16.96,26.65
