"hemiarcada","ID","Sexo","Edad","Estatura","Origen","arco","cuerda_medida","cuerda_geometrica","Tmin_med","Tmax_med","acierto_med","Tmin_geo","Tmax_geo","acierto_geo"
"H3",1,"F",21,1.6,"Ciudad de México",18.597,18.78,17.614,1.753,1.77,0,1.66,1.753,0
"H3",2,"F",21,1.56,"Ciudad de México",17.2,16.9,16.024,1.593,1.621,0,1.51,1.621,1
"H3",3,"F",25,1.67,"Ciudad de México",17.563,17.523,16.693,1.652,1.655,0,1.573,1.655,0
"H3",4,"F",22,1.67,"Guanajuato",16.1,15.61,15.21,1.471,1.517,0,1.434,1.517,0
"H3",5,"F",21,1.5,"Estado de México",17.253,17.397,16.588,1.626,1.64,0,1.563,1.626,0
"H3",6,"F",21,1.68,"Ciudad de México",16.33,16.933,15.481,1.539,1.596,0,1.459,1.539,0
"H3",7,"M",22,1.6,"Estado de México",16.693,16.007,15.76,1.509,1.573,0,1.485,1.573,0
"H3",8,"M",21,1.76,"Ciudad de México",18.96,17.283,17.584,1.629,1.787,1,1.657,1.787,1
"H3",9,"F",21,1.59,"Ciudad de México",19.037,18.587,18.147,1.752,1.794,0,1.71,1.794,0
"H3",10,"F",NA,1.56,NA,18.123,17.46,16.974,1.646,1.708,0,1.6,1.708,0
"H3",11,"F",21,1.54,"Ciudad de México",18.097,16.863,17.041,1.589,1.706,0,1.606,1.706,0
"H3",12,"F",21,1.59,"Estado de México",17.61,16.4,16.201,1.546,1.66,1,1.527,1.66,1
"H3",13,"F",21,1.64,"Estado de México",17.137,15.367,15.949,1.448,1.615,0,1.503,1.615,0
"H3",14,"F",20,1.5,"Estado de México",17.087,17.19,16.526,1.61,1.62,0,1.558,1.61,0
"H3",15,"F",21,1.57,"Ciudad de México",19.49,17.833,18.351,1.681,1.837,0,1.73,1.837,0
"H3",16,"F",22,1.5,"Ciudad de México",17.68,17.68,16.695,1.666,1.666,0,1.573,1.666,0
"H3",17,"F",20,1.42,"Ciudad de México",16.33,17.087,15.653,1.539,1.61,0,1.475,1.539,0
"H3",18,"M",21,1.61,"Estado de México",18.52,17.257,17.537,1.626,1.745,0,1.653,1.745,0
"H3",19,"F",18,1.53,"Ciudad de México",16.767,17.19,15.77,1.58,1.62,0,1.486,1.58,1
"H3",20,"F",18,1.6,"Ciudad de México",17.863,15.883,16.745,1.497,1.684,1,1.578,1.684,1
"H3",21,"F",19,1.56,"Ciudad de México",14.85,15.223,14.309,1.4,1.435,0,1.349,1.4,0
"H3",22,"F",20,1.57,"Estado de México",15.773,15.323,14.851,1.444,1.487,0,1.4,1.487,0
"H3",23,"F",19,1.61,"Querétaro",18.78,18.487,17.793,1.742,1.77,0,1.677,1.77,0
"H3",24,"F",19,1.45,"Estado de México",17.327,16.527,16.263,1.558,1.633,0,1.533,1.633,0
"H3",25,"M",18,1.78,"Estado de México",19.43,17.857,18.146,1.683,1.831,1,1.71,1.831,1
"H3",26,"F",19,1.61,"Ciudad de México",17.75,16.61,16.701,1.565,1.673,1,1.574,1.673,1
"H3",27,"F",30,1.57,"Ciudad de México",18.087,17.79,17.248,1.677,1.705,0,1.626,1.705,0
"H3",28,"F",23,1.56,"Ciudad de México",21.095,18.395,19.313,1.734,1.988,0,1.82,1.988,0
"H3",29,"F",19,1.57,"Ciudad de México",18.835,18.54,17.952,1.747,1.775,0,1.692,1.775,0
"H3",30,"F",18,1.55,"Estado de México",16.76,15.425,16.171,1.454,1.58,1,1.524,1.58,1
"H3",31,"F",18,1.54,"Estado de México",19.27,15.415,17.297,1.453,1.816,1,1.63,1.816,0
"H3",32,"M",18,1.71,"Estado de México",17.787,16.96,16.557,1.598,1.676,0,1.56,1.676,0
"H3",33,"M",18,1.61,"Ciudad de México",17.067,17.297,16.405,1.609,1.63,1,1.546,1.609,0
"H3",34,"M",18,1.55,"Ciudad de México",17.143,17.233,16.26,1.616,1.624,0,1.532,1.616,1
"H3",35,"F",18,1.61,"Ciudad de México",19.023,18.01,17.771,1.697,1.793,0,1.675,1.793,0
"H3",36,"F",20,1.67,"Ciudad de México",19.403,18.58,18.215,1.751,1.829,0,1.717,1.829,0
"H3",37,"F",19,1.62,"Ciudad de México",16.703,16.603,15.751,1.565,1.574,0,1.485,1.574,0
"H3",38,"F",21,1.56,"Ciudad de México",17.53,17.893,16.514,1.652,1.686,0,1.556,1.652,1
"H3",39,"F",19,1.55,"Ciudad de México",19.883,18.997,18.683,1.79,1.874,0,1.761,1.874,0
"H3",40,"F",23,1.51,"Estado de México",18.19,16.207,16.769,1.527,1.714,0,1.58,1.714,0
"H3",41,"F",18,1.5,"Ciudad de México",18.783,18.947,18.077,1.77,1.786,0,1.704,1.77,0
"H3",42,"M",19,1.9,"Ciudad de México",18.14,17.873,17.161,1.685,1.71,0,1.617,1.71,0
"H3",43,"F",18,1.7,"Estado de México",20.303,17.983,18.71,1.695,1.914,1,1.763,1.914,0
"H3",45,"F",18,1.58,"Ciudad de México",17.087,17.147,16.171,1.61,1.616,0,1.524,1.61,1
"H3",46,"F",19,1.6,"Ciudad de México",18.25,17.877,17.362,1.685,1.72,0,1.636,1.72,0
"H3",47,"M",18,1.62,"Ciudad de México",18.487,18.45,17.21,1.739,1.742,0,1.622,1.742,0
"H3",48,"M",18,1.63,"Querétaro",18.76,18.86,17.953,1.768,1.778,0,1.692,1.768,0
"H3",49,"F",19,1.63,"Ciudad de México",18.707,16.92,17.779,1.595,1.763,1,1.676,1.763,0
"H3",50,"F",42,1.68,"Ciudad de México",19.127,18.883,18.37,1.78,1.803,0,1.731,1.803,0
"H3",51,"F",23,1.56,"Ciudad de México",20.353,18.887,18.82,1.78,1.918,0,1.774,1.918,0
"H3",52,"F",21,1.65,"Ciudad de México",17.967,17.527,17.07,1.652,1.693,0,1.609,1.693,1
"H3",53,"F",22,1.68,"Ciudad de México",18.277,17.113,17.482,1.613,1.723,1,1.648,1.723,1
"H3",54,"F",20,1.61,"Estado de México",18.387,16.597,17.444,1.564,1.733,1,1.644,1.733,0
"H3",55,"F",20,1.55,"Ciudad de México",16.243,17.253,15.618,1.531,1.626,1,1.472,1.531,0
"H3",56,"F",20,1.54,"Ciudad de México",18.585,17.8,17.249,1.678,1.752,0,1.626,1.752,0
"H3",57,"M",19,1.89,"Ciudad de México",17.575,18.395,17.07,1.656,1.734,0,1.609,1.656,0
