"hemiarcada","ID","Sexo","Edad","Estatura","Origen","arco","cuerda_medida","cuerda_geometrica","Tmin_med","Tmax_med","acierto_med","Tmin_geo","Tmax_geo","acierto_geo"
"H3",1,"F",21,1.6,"Ciudad de México",18.27,18.57,17.47,1.722,1.75,0,1.647,1.722,0
"H3",2,"F",21,1.56,"Ciudad de México",17.45,16.82,16.192,1.585,1.645,0,1.526,1.645,1
"H3",3,"F",25,1.67,"Ciudad de México",16.83,15.59,16.027,1.469,1.586,0,1.51,1.586,0
"H3",4,"F",22,1.67,"Guanajuato",15.83,15.68,15.044,1.478,1.492,0,1.418,1.492,0
"H3",5,"F",21,1.5,"Estado de México",17.1,16.76,16.489,1.58,1.612,0,1.554,1.612,0
"H3",6,"F",21,1.68,"Ciudad de México",16.11,16.44,15.307,1.518,1.549,0,1.443,1.518,0
"H3",7,"M",22,1.6,"Estado de México",15.64,15.58,14.95,1.468,1.474,0,1.409,1.474,0
"H3",8,"M",21,1.76,"Ciudad de México",18.51,16.25,17.19,1.532,1.745,0,1.62,1.745,0
"H3",9,"F",21,1.59,"Ciudad de México",18.98,17.68,18.006,1.666,1.789,0,1.697,1.789,0
"H3",10,"F",NA,1.56,NA,17.53,16.71,16.546,1.575,1.652,0,1.559,1.652,1
"H3",11,"F",21,1.54,"Ciudad de México",17.32,15.23,16.419,1.435,1.632,1,1.547,1.632,0
"H3",12,"F",21,1.59,"Estado de México",16.45,15.57,15.293,1.467,1.55,0,1.441,1.55,0
"H3",13,"F",21,1.64,"Estado de México",16.7,14.23,15.676,1.341,1.574,0,1.477,1.574,0
"H3",14,"F",20,1.5,"Estado de México",16.44,16.33,16.012,1.539,1.549,0,1.509,1.549,0
"H3",15,"F",21,1.57,"Ciudad de México",19.06,17.14,18.003,1.615,1.796,0,1.697,1.796,0
"H3",16,"F",22,1.5,"Ciudad de México",17.08,17.11,16.268,1.61,1.613,0,1.533,1.61,0
"H3",17,"F",20,1.42,"Ciudad de México",16.32,16.22,15.645,1.529,1.538,0,1.475,1.538,0
"H3",18,"M",21,1.61,"Estado de México",18.18,16.83,17.207,1.586,1.713,1,1.622,1.713,0
"H3",19,"F",18,1.53,"Ciudad de México",16.39,15.98,15.382,1.506,1.545,1,1.45,1.545,1
"H3",20,"F",18,1.6,"Ciudad de México",18.41,15.71,17.1,1.481,1.735,1,1.612,1.735,0
"H3",21,"F",19,1.56,"Ciudad de México",14.94,14.78,14.298,1.393,1.408,0,1.348,1.408,0
"H3",22,"F",20,1.57,"Estado de México",15.23,14.51,14.068,1.368,1.435,0,1.326,1.435,0
"H3",23,"F",19,1.61,"Querétaro",18.53,17.88,17.558,1.685,1.746,0,1.655,1.746,0
"H3",24,"F",19,1.45,"Estado de México",17.61,15.24,16.355,1.436,1.66,1,1.541,1.66,0
"H3",25,"M",18,1.78,"Estado de México",18.88,17.45,17.678,1.645,1.779,0,1.666,1.779,0
"H3",26,"F",19,1.61,"Ciudad de México",17.76,15.71,16.726,1.481,1.674,1,1.576,1.674,1
"H3",27,"F",30,1.57,"Ciudad de México",18.01,17.08,16.866,1.61,1.697,0,1.59,1.697,0
"H3",28,"F",23,1.56,"Ciudad de México",20.77,17.17,19.042,1.618,1.958,0,1.795,1.958,0
"H3",29,"F",19,1.57,"Ciudad de México",18.81,17.79,17.874,1.677,1.773,0,1.685,1.773,0
"H3",30,"F",18,1.55,"Estado de México",16.92,14.58,16.437,1.374,1.595,1,1.549,1.595,1
"H3",31,"F",18,1.54,"Estado de México",19.27,14.27,17.231,1.345,1.816,1,1.624,1.816,0
"H3",32,"M",18,1.71,"Estado de México",17.57,15.71,16.353,1.481,1.656,0,1.541,1.656,0
"H3",33,"M",18,1.61,"Ciudad de México",17.06,16.86,16.382,1.589,1.608,0,1.544,1.608,0
"H3",34,"M",18,1.55,"Ciudad de México",17.66,16.35,16.613,1.541,1.664,1,1.566,1.664,0
"H3",35,"F",18,1.61,"Ciudad de México",18.95,17.85,17.692,1.682,1.786,0,1.667,1.786,0
"H3",36,"F",20,1.67,"Ciudad de México",19.28,18.13,18.051,1.709,1.817,0,1.701,1.817,0
"H3",37,"F",19,1.62,"Ciudad de México",16.43,16.32,15.518,1.538,1.548,0,1.463,1.548,0
"H3",38,"F",21,1.56,"Ciudad de México",17.48,17.49,16.487,1.647,1.648,0,1.554,1.647,1
"H3",39,"F",19,1.55,"Ciudad de México",19.7,18.67,18.5,1.76,1.857,0,1.744,1.857,0
"H3",40,"F",23,1.51,"Estado de México",18.07,14.35,16.633,1.352,1.703,1,1.568,1.703,0
"H3",41,"F",18,1.5,"Ciudad de México",18.74,19.04,17.943,1.766,1.794,0,1.691,1.766,0
"H3",42,"M",19,1.9,"Ciudad de México",17.79,17.68,16.9,1.666,1.677,0,1.593,1.677,0
"H3",43,"F",18,1.7,"Estado de México",19.46,17.82,17.991,1.679,1.834,1,1.696,1.834,1
"H3",45,"F",18,1.58,"Ciudad de México",17.4,17,16.427,1.602,1.64,0,1.548,1.64,1
"H3",46,"F",19,1.6,"Ciudad de México",18.71,17.89,17.871,1.686,1.763,0,1.684,1.763,0
"H3",47,"M",18,1.62,"Ciudad de México",18.31,18.04,17.221,1.7,1.726,0,1.623,1.726,0
"H3",48,"M",18,1.63,"Querétaro",18.7,18.78,18.017,1.762,1.77,0,1.698,1.762,0
"H3",49,"F",19,1.63,"Ciudad de México",18.36,17.12,17.701,1.614,1.73,1,1.668,1.73,0
"H3",50,"F",42,1.68,"Ciudad de México",18.35,18.66,17.909,1.729,1.759,0,1.688,1.729,0
"H3",51,"F",23,1.56,"Ciudad de México",20.39,19.19,18.933,1.809,1.922,0,1.784,1.922,0
"H3",52,"F",21,1.65,"Ciudad de México",17.97,17.59,17.303,1.658,1.694,0,1.631,1.694,1
"H3",53,"F",22,1.68,"Ciudad de México",18.25,17.15,17.797,1.616,1.72,1,1.677,1.72,1
"H3",54,"F",20,1.61,"Estado de México",18.26,17.05,17.51,1.607,1.721,1,1.65,1.721,0
"H3",55,"F",20,1.55,"Ciudad de México",16.18,17.14,15.623,1.525,1.615,1,1.472,1.525,0
"H3",56,"F",20,1.54,"Ciudad de México",18.65,17.77,17.271,1.675,1.758,0,1.628,1.758,0
"H3",57,"M",19,1.89,"Ciudad de México",18.12,18.68,17.72,1.708,1.761,0,1.67,1.708,0
"H3",58,"F",20,1.57,"Ciudad de México",16.7,16.55,16.234,1.56,1.574,1,1.53,1.574,1
"H3",59,"F",32,1.57,"Puebla",19.15,18.71,18.458,1.763,1.805,0,1.74,1.805,0
"H3",60,"F",20,1.59,"Ciudad de México",16.5,17.26,16.185,1.555,1.627,1,1.525,1.555,0
"H3",61,"F",19,1.53,"Ciudad de México",19.61,18.15,18.553,1.711,1.848,0,1.749,1.848,0
"H3",62,"F",18,1.69,NA,19.14,19.42,18.204,1.804,1.83,0,1.716,1.804,0
"H3",63,"F",19,1.61,"Ciudad de México",17.61,17.73,17.159,1.66,1.671,0,1.617,1.66,0
"H3",64,"F",19,1.53,"Ciudad de México",16.62,16.74,16.088,1.566,1.578,0,1.516,1.566,1
"H3",65,"F",22,1.66,"Ciudad de México",19.41,16.72,18.127,1.576,1.829,1,1.708,1.829,0
"H3",66,"M",19,1.72,"Ciudad de México",18.94,19.23,18.036,1.785,1.812,0,1.7,1.785,1
"H3",67,"F",26,1.62,"Estado de México",18.55,17.94,17.703,1.691,1.748,0,1.669,1.748,0
"H3",68,"M",18,1.72,"Estado de México",20.53,18.61,19.497,1.754,1.935,0,1.838,1.935,0
"H3",69,"F",18,1.58,"Ciudad de México",17.07,17.16,16.296,1.609,1.617,0,1.536,1.609,1
"H3",70,"M",18,1.69,"Estado de México",17.79,16.88,17.083,1.591,1.677,0,1.61,1.677,0
"H3",71,"F",19,1.52,"Ciudad de México",17.08,17.45,16.63,1.61,1.645,0,1.567,1.61,0
"H3",72,"F",20,1.51,"Ciudad de México",17.56,18.05,16.711,1.655,1.701,0,1.575,1.655,0
"H3",73,"F",18,1.64,"Ciudad de México",18.4,18.53,17.019,1.734,1.746,0,1.604,1.734,1
"H3",74,"F",27,1.64,"Ciudad de México",18.76,18.17,17.286,1.712,1.768,0,1.629,1.768,1
"H3",75,"F",18,1.5,"Ciudad de México",17.96,17.42,16.796,1.642,1.693,0,1.583,1.693,0
"H3",76,"F",56,1.56,"Ciudad de México",18.16,16.12,17.006,1.519,1.712,1,1.603,1.712,0
"H3",77,"F",19,1.64,"Ciudad de México",17.01,17.48,15.821,1.603,1.647,1,1.491,1.603,0
"H3",78,"M",18,1.7,"Ciudad de México",15.94,16.97,15.427,1.502,1.599,0,1.454,1.502,0
"H3",79,"M",19,1.63,"Estado de México",17.5,17.46,16.245,1.646,1.649,0,1.531,1.649,1
"H3",81,"F",18,1.57,"Ciudad de México",17.2,17.48,16.456,1.621,1.647,0,1.551,1.621,1
"H3",84,"F",18,1.73,"Ciudad de México",20.26,18.77,19.151,1.769,1.909,0,1.805,1.909,0
"H3",87,"M",18,1.75,"Ciudad de México",18.76,18.74,17.783,1.766,1.768,0,1.676,1.768,1
"H3",90,"F",18,1.57,"Ciudad de México",17.11,15.47,16.022,1.458,1.613,1,1.51,1.613,1
"H3",95,"F",19,1.67,"Ciudad de México",18.47,17.56,17.229,1.655,1.741,1,1.624,1.741,1
