"hemiarcada","ID","fuente","Sexo","Edad","Estatura","Lugar_origen","arco","cuerda_medida","cuerda_geometrica","Tmin_med","Tmax_med","acierto_med","Tmin_geo","Tmax_geo","acierto_geo"
"H3","1","Mediciones_Estatura","F",21,1.6,"CDMX",19.02,18.83,17.894,1.775,1.793,0,1.686,1.793,0
"H3","2","Mediciones_Estatura","F",21,1.56,"CDMX",16.68,17.01,15.647,1.572,1.603,0,1.475,1.572,1
"H3","3","datos_limpios_validados","F",25,1.67,"Ciudad de México",16.665,16.865,15.823,1.571,1.589,0,1.491,1.571,0
"H3","4","Mediciones_Estatura","F",21,1.5,"Estado de México",16.28,15.31,15.282,1.443,1.534,1,1.44,1.534,1
"H3","5","Mediciones_Estatura","F",21,1.68,"CDMX",17.27,17.51,16.567,1.628,1.65,0,1.561,1.628,0
"H3","6","Mediciones_Estatura","M",21,1.76,"CDMX",16.73,17.15,15.763,1.577,1.616,0,1.486,1.577,0
"H3","7","Mediciones_Estatura","F",21,1.59,"CDMX",17.02,15.92,15.995,1.5,1.604,1,1.508,1.604,1
"H3","8","Mediciones_Estatura","F",NA,1.56,"-",19.14,17.74,17.665,1.672,1.804,0,1.665,1.804,0
"H3","9","Mediciones_Estatura","F",21,1.54,"CDMX",18.52,18.96,17.758,1.745,1.787,0,1.674,1.745,0
"H3","10","Mediciones_Estatura","F",21,1.59,"Estado de México",18.42,17.16,17.196,1.617,1.736,0,1.621,1.736,0
"H3","11","Mediciones_Estatura","F",20,1.5,"Estado de México",18.49,17.7,17.329,1.668,1.743,0,1.633,1.743,0
"H3","12","Mediciones_Estatura","F",21,1.57,"CDMX",17.93,16.84,16.455,1.587,1.69,0,1.551,1.69,1
"H3","13","Mediciones_Estatura","F",22,1.5,"CDMX",17.65,15.92,16.3,1.5,1.663,0,1.536,1.663,0
"H3","14","datos_limpios_validados","F",20,1.5,"Estado de México",18.71,19.105,17.75,1.763,1.801,0,1.673,1.763,0
"H3","15","Mediciones_Estatura","M",21,1.61,"Estado de México",20.04,18.01,18.757,1.697,1.889,0,1.768,1.889,0
"H3","16","Mediciones_Estatura","F",18,1.53,"CDMX",18.35,18.16,17.198,1.712,1.729,0,1.621,1.729,0
"H3","18","datos_limpios_validados","M",21,1.61,"Estado de México",18.63,17.885,17.594,1.686,1.756,0,1.658,1.756,0
"H3","19","Mediciones_Estatura","F",19,1.61,"Querétaro",17.48,17.65,16.241,1.647,1.663,0,1.531,1.647,1
