"variable","n","icc","ic_inf","ic_sup","p"
"mm_11",100,0.803,0.737,0.857,0
"mm_12",100,0.781,0.661,0.857,0
"mm_13",99,0.756,0.68,0.82,0
"mm_21",98,0.814,0.749,0.866,0
"mm_22",100,0.757,0.536,0.863,0
"mm_23",99,0.784,0.715,0.842,0
"mm_13_11",99,0.697,0.541,0.8,0
"mm_23_21",97,0.707,0.551,0.809,0
"mm_31",100,0.796,0.73,0.85,0
"mm_32",99,0.792,0.715,0.851,0
"mm_33",100,0.694,0.605,0.772,0
"mm_41",100,0.796,0.73,0.85,0
"mm_42",99,0.767,0.685,0.833,0
"mm_43",100,0.644,0.542,0.732,0
"mm_33_31",99,0.756,0.636,0.837,0
"mm_43_41",98,0.759,0.65,0.836,0
