"n_modelo","id","sexo","estatura","T_min_h1","T_max_h1","dentro_h1","T_min_h2","T_max_h2","dentro_h2","T_min_h3","T_max_h3","dentro_h3","T_min_h4","T_max_h4","dentro_h4","n_hemi_validas","n_hemi_dentro","dentro_alguna","dentro_todas"
1,"1","F",1.6,2.1554,2.2252,FALSE,2.1913,2.2921,FALSE,1.7172,1.7917,FALSE,1.7747,1.7926,FALSE,4,0,FALSE,FALSE
2,"2","F",1.56,2.1093,2.1168,FALSE,2.0961,2.1064,FALSE,1.4137,1.6352,TRUE,1.5721,1.6032,FALSE,4,1,TRUE,FALSE
3,"3","F",1.67,2.3713,2.3986,FALSE,2.4033,2.4316,FALSE,1.8529,1.8633,FALSE,1.8623,1.8699,FALSE,4,0,FALSE,FALSE
4,"sin codigo","F",1.67,2.3534,2.4241,FALSE,2.3421,2.4014,FALSE,1.8293,1.8567,FALSE,1.8755,2.1055,FALSE,4,0,FALSE,FALSE
5,"4","F",1.5,1.9349,1.9858,FALSE,1.9217,1.9274,FALSE,1.4976,1.5541,TRUE,1.4429,1.5344,TRUE,4,2,TRUE,FALSE
6,"5","F",1.68,2.2158,2.2186,FALSE,2.1366,2.1583,FALSE,1.6154,1.6965,TRUE,1.6277,1.6503,FALSE,4,1,TRUE,FALSE
7,"sin codigo","M",1.6,2.2214,2.2431,FALSE,2.2346,2.2525,FALSE,1.7521,1.7964,FALSE,1.7869,1.7973,FALSE,4,0,FALSE,FALSE
8,"6","M",1.76,2.0687,2.162,FALSE,2.0433,2.1423,FALSE,1.5485,1.5692,FALSE,1.5768,1.6163,FALSE,4,0,FALSE,FALSE
9,"7","F",1.59,2.1093,2.1234,FALSE,2.0612,2.0631,FALSE,1.5127,1.7115,TRUE,1.5004,1.6041,TRUE,4,2,TRUE,FALSE
10,"8","F",1.56,2.31,2.3232,FALSE,2.3373,2.3439,FALSE,1.5862,1.8369,FALSE,1.672,1.8039,FALSE,4,0,FALSE,FALSE
11,"9","F",1.54,2.3053,2.4118,FALSE,2.3147,2.3223,FALSE,1.6767,1.7954,FALSE,1.7455,1.7869,FALSE,4,0,FALSE,FALSE
12,"10","F",1.59,2.1102,2.1404,FALSE,2.0857,2.1677,FALSE,1.5466,1.7935,TRUE,1.6173,1.736,FALSE,4,1,TRUE,FALSE
13,"sin codigo","F",1.64,2.293,2.3373,FALSE,NA,NA,NA,1.6729,1.6738,FALSE,1.6682,1.6795,FALSE,3,0,FALSE,FALSE
14,"11","F",1.5,2.1554,2.1865,FALSE,2.1922,2.2158,FALSE,1.5956,1.7389,FALSE,1.6682,1.7426,FALSE,4,0,FALSE,FALSE
15,"12","F",1.57,2.0348,2.0838,FALSE,1.9443,2.1677,FALSE,1.638,1.6748,FALSE,1.5871,1.6899,FALSE,4,0,FALSE,FALSE
16,"13","F",1.5,1.9132,2.0857,FALSE,1.9528,2.1291,FALSE,1.4759,1.6182,TRUE,1.5004,1.6635,FALSE,4,1,TRUE,FALSE
17,"14","F",1.42,2.1677,2.2469,FALSE,NA,NA,NA,1.6917,1.7907,FALSE,1.654,1.6729,FALSE,3,0,FALSE,FALSE
18,"15","M",1.61,2.294,2.3034,FALSE,2.1564,2.3194,FALSE,1.737,1.9245,FALSE,1.6974,1.8887,FALSE,4,0,FALSE,FALSE
19,"16","F",1.53,2.0829,2.1281,FALSE,NA,NA,NA,1.7257,1.7794,FALSE,1.7115,1.7294,FALSE,3,0,FALSE,FALSE
20,"17","F",1.6,2.0395,2.097,FALSE,1.9406,2.1159,FALSE,1.6069,1.655,FALSE,1.4722,1.6691,TRUE,4,1,TRUE,FALSE
21,"sin codigo","F",1.56,2.1969,2.3006,FALSE,2.228,2.2497,FALSE,1.7568,1.7587,FALSE,1.8048,1.8152,FALSE,4,0,FALSE,FALSE
22,"18","F",1.57,2.1696,2.2582,FALSE,2.2252,2.244,FALSE,1.7285,1.7332,FALSE,1.6239,1.7634,FALSE,4,0,FALSE,FALSE
23,"19","F",1.61,2.2082,2.2158,FALSE,2.2601,2.2978,FALSE,1.6635,1.6795,FALSE,1.6475,1.6635,FALSE,4,0,FALSE,FALSE
24,"20","F",1.45,2.0292,2.0489,FALSE,1.9311,2.0499,FALSE,1.556,1.59,FALSE,1.4995,1.6277,FALSE,4,0,FALSE,FALSE
25,"21","M",1.78,1.9227,1.9255,FALSE,1.9377,1.9604,FALSE,1.4514,1.4618,FALSE,1.4062,1.4542,FALSE,4,0,FALSE,FALSE
26,"22","F",1.61,1.9999,2.0508,FALSE,2.0932,2.0951,FALSE,1.4137,1.557,FALSE,1.508,1.5155,FALSE,4,0,FALSE,FALSE
27,"23","F",1.57,2.3204,2.4071,FALSE,2.392,2.3986,FALSE,1.6277,1.8067,FALSE,1.7785,1.8199,FALSE,4,0,FALSE,FALSE
28,"24","F",1.56,2.0565,2.0603,FALSE,2.0678,2.0885,FALSE,1.5824,1.7408,FALSE,1.5485,1.6465,TRUE,4,1,TRUE,FALSE
29,"25","F",1.57,2.1941,2.2242,FALSE,2.2148,2.2619,FALSE,1.7747,1.8331,FALSE,1.6493,1.8736,FALSE,4,0,FALSE,FALSE
30,"26","F",1.55,2.1083,2.1253,FALSE,1.9896,2.162,FALSE,1.4816,1.8359,TRUE,1.6098,1.6795,FALSE,4,1,TRUE,FALSE
31,"27","F",1.54,2.1809,2.2007,FALSE,2.0706,2.1771,FALSE,1.6814,1.6814,FALSE,1.6965,1.7304,FALSE,4,0,FALSE,FALSE
32,"69","M",1.71,1.9792,2.0084,FALSE,2.0471,2.0574,FALSE,1.6003,1.6644,FALSE,1.6098,1.6239,FALSE,4,0,FALSE,FALSE
33,"70","M",1.61,2.2242,2.2327,FALSE,2.1423,2.1488,FALSE,1.7021,1.7078,FALSE,1.5984,1.7172,TRUE,4,1,TRUE,FALSE
34,"71","M",1.55,2.1423,2.179,FALSE,2.0433,2.0753,FALSE,1.6032,1.672,FALSE,1.6135,1.6465,FALSE,4,0,FALSE,FALSE
35,"72","F",1.61,1.9179,2.3307,FALSE,1.9236,2.3025,FALSE,1.6399,1.6833,FALSE,1.6795,1.7247,FALSE,4,0,FALSE,FALSE
36,"32","F",1.67,2.1488,2.1743,FALSE,2.2676,2.3053,FALSE,1.6606,1.8359,TRUE,1.6804,1.7436,FALSE,4,1,TRUE,FALSE
37,"33","F",1.62,2.0235,2.0603,FALSE,2.0866,2.0998,FALSE,1.6305,1.6437,FALSE,1.6569,1.6597,FALSE,4,0,FALSE,FALSE
38,"34","F",1.56,2.1102,2.1215,FALSE,2.08,2.1206,FALSE,1.5749,1.6163,FALSE,1.606,1.687,FALSE,4,0,FALSE,FALSE
