"Radio-cuerda derecho","Arco derecho","Radio-cuerda izquierdo","Arco izquierdo","Estatura estimada derecha","Estatura estimada izquierda","Estatura real","min_derecho","Max_derecho","min_izquierdo","Max_izquierdo"
1.654,17.57,1.645,17.36,157.666,159.391,152.3,155.886192,165.593736,155.03796,163.614528
1.647,16.9,1.642,16.99,155.537,157.039,156.2,155.226456,159.27912,154.755216,160.127352
1.649,17.23,1.659,17.16,156.475,158.609,159.2,155.414952,162.389304,156.357432,161.729568
1.89,19.2,1.936,19.6,179.65,182.179,183.4,178.12872,180.95616,182.464128,184.72608
1.696,17.74,1.657,18.26,161.293,165.262,172.3,159.844608,167.195952,156.168936,172.096848
1.836,18.82,1.872,18.63,174.603,174.253,172.9,173.039328,177.374736,176.432256,175.584024
1.921,19.26,1.93,19.59,182.172,181.93,186,181.050408,181.521648,181.89864,184.631832
1.815,18.8,1.8,18.28,172.945,169.862,176.8,171.06012,177.18624,169.6464,172.285344
1.638,17.15,1.654,17.2,155.44,158.697,156.3,154.378224,161.63532,155.886192,162.10656
1.737,16.97,1.719,17.2,162.61,160.732,162.8,163.708776,159.938856,162.012312,162.10656
1.611,16.1,1.63,16.6,150.873,154.282,151.9,151.833528,151.73928,153.62424,156.45168
1.749,17.91,1.81,17.83,165.765,167.428,167.8,164.839752,168.798168,170.58888,168.044184
1.598,17.01,1.603,17.09,152.038,156.428,161.5,150.608304,160.315848,151.079544,161.069832
1.722,18.6,1.714,18.66,165.332,169.489,175.1,162.295056,175.30128,161.541072,175.866768
1.776,17.78,1.759,17.84,167.528,165.892,163.6,167.384448,167.572944,165.782232,168.138432
1.678,17,1.69,16.87,158.154,157.809,157.3,158.148144,160.2216,159.27912,158.996376
1.799,18.41,1.801,18.3,170.79,170.015,171.3,169.552152,173.510568,169.740648,172.47384
1.613,16.75,1.616,16.41,152.571,152.684,152.3,152.022024,157.8654,152.304768,154.660968
1.701,17.18,1.721,17.02,160.346,159.696,161.2,160.315848,161.918064,162.200808,160.410096
1.855,18.46,1.861,18.54,175.206,173.359,175.1,174.83004,173.981808,175.395528,174.735792
1.687,17.13,1.764,18.02,159.153,167.147,155.8,158.996376,161.446824,166.253472,169.834896
1.788,18,1.716,18.4,168.971,167.964,165.3,168.515424,169.6464,161.729568,173.41632
1.697,16.65,1.674,17.36,158.78,160.3,162.1,159.938856,156.92292,157.771152,163.614528
1.827,19.03,1.867,18.23,174.412,171.655,164,172.191096,179.353944,175.961016,171.814104
1.642,16.3,1.628,16.81,153.728,155.501,152.8,154.755216,153.62424,153.435744,158.430888
1.822,19.08,1.812,18.81,174.147,173.473,173.2,171.719856,179.825184,170.777376,177.280488
1.74,17.32,1.72,17.01,163.672,159.603,160.3,163.99152,163.237536,162.10656,160.315848
1.73,17.25,1.749,17.42,162.738,163.015,163.1,163.04904,162.5778,164.839752,164.180016
1.732,16.95,1.679,17.46,162.179,161.067,161.8,163.237536,159.75036,158.242392,164.557008
1.771,17.28,1.741,17.53,165.956,163.436,169.4,166.913208,162.860544,164.085768,165.216744
1.696,17.28,1.701,17.15,160.2,159.863,161,159.844608,162.860544,160.315848,161.63532
1.85,18.7,1.829,18.88,175.393,174.433,173.8,174.3588,176.24376,172.379592,177.940224
1.805,18.53,1.798,18.53,171.535,171.326,175.3,170.11764,174.641544,169.457904,174.641544
1.89,19.1,1.78,19.11,179.413,174.303,179.8,178.12872,180.01368,167.76144,180.107928
1.732,17.91,1.736,17.93,164.46,165.721,169.7,163.237536,168.798168,163.614528,168.986664
1.733,17.81,1.712,18.03,164.299,165.58,165,163.331784,167.855688,161.352576,169.929144
1.742,17.39,1.747,17.99,163.992,166.432,161.4,164.180016,163.897272,164.651256,169.552152
1.685,17.46,1.695,17.55,159.784,162.117,158.1,158.80788,164.557008,159.75036,165.40524
1.705,17.3,1.723,17.67,160.939,163.727,165.1,160.69284,163.04904,162.389304,166.536216
1.784,18.11,1.783,18.24,168.926,169.085,169,168.138432,170.683128,168.044184,171.908352
1.882,18.84,1.854,18.83,178.181,174.911,175.8,177.374736,177.563232,174.735792,177.468984
1.742,18.6,1.732,18.89,166.867,171.457,163.8,164.180016,175.30128,163.237536,178.034472
1.752,17.49,1.75,17.6,164.997,164.145,163.3,165.122496,164.839752,164.934,165.87648
1.765,17.51,1.699,17.57,166.042,162.365,174.8,166.34772,165.028248,160.127352,165.593736
1.756,17.9,1.743,17.9,166.278,165.757,165.7,165.499488,168.70392,164.274264,168.70392
1.63,16.61,1.596,16.43,153.543,152.179,149.8,153.62424,156.545928,150.419808,154.849464
1.903,19.79,1.945,20.05,182.05,185.208,184.3,179.353944,186.516792,183.31236,188.96724
1.759,18.88,1.77,19.12,168.837,174.051,168.1,165.782232,177.940224,166.81896,180.202176
1.645,16.5,1.638,16.5,154.433,153.922,153.5,155.03796,155.5092,154.378224,155.5092
1.63,17.86,1.66,16.46,156.513,154.367,156.5,153.62424,168.326928,156.45168,155.132208
1.696,16.57,1.678,17.24,158.513,159.692,153.5,159.844608,156.168936,158.148144,162.483552
1.78,18.26,1.764,17.96,168.975,166.781,167.2,167.76144,172.096848,166.253472,169.269408
1.68,16.502,1.677,17.07,157.124,158.623,159.4,158.33664,155.5280496,158.053896,160.881336
1.782,18.5,1.768,18.43,169.699,169.776,166.7,167.949936,174.3588,166.630464,173.699064
1.841,17.81,1.776,18.22,172.587,168.744,171.1,173.510568,167.855688,167.384448,171.719856
1.697,16.94,1.68,17.16,159.469,159.267,160.8,159.938856,159.656112,158.33664,161.729568
1.741,17.3,1.747,17.46,163.701,163.196,163.1,164.085768,163.04904,164.651256,164.557008
1.727,17.21,1.715,18.15,162.413,166.406,167.6,162.766296,162.200808,161.63532,171.06012
1.594,16.53,1.629,16.58,150.591,154.129,154.6,150.231312,155.791944,153.529992,156.263184
1.789,18.28,1.801,18.42,169.713,170.748,170,168.609672,172.285344,169.740648,173.604816
1.759,18.12,1.771,18.15,167.031,168.16,164,165.782232,170.777376,166.913208,171.06012
1.818,18.62,1.823,18.16,172.747,169.85,172.9,171.342864,175.489776,171.814104,171.154368
1.798,18.68,1.841,19.31,171.355,177.434,172.6,169.457904,176.055264,173.510568,181.992888
1.709,17.43,1.71,17.77,161.554,163.93,153.2,161.069832,164.274264,161.16408,167.478696
1.692,17.83,1.696,17.01,161.2,158.852,159.1,159.467616,168.044184,159.844608,160.315848
1.706,17.54,1.744,18.13,161.586,167.193,165.6,160.787088,165.310992,164.368512,170.871624
1.698,18.67,1.64,17.85,163.657,162.226,154.4,160.033104,175.961016,154.56672,168.23268
1.79,18.34,1.789,18.07,169.933,168.235,170.4,168.70392,172.850832,168.609672,170.306136
1.771,17.94,1.775,18.1,167.524,167.98,167.4,166.913208,169.080912,167.2902,170.58888
1.68,16.5,1.668,16.34,157.119,153.885,154.8,158.33664,155.5092,157.205664,154.001232
1.768,18.15,1.744,17.6,167.793,163.957,169.7,166.630464,171.06012,164.368512,165.87648
1.988,19.64,1.9,19.91,188.217,182.945,182.5,187.365024,185.103072,179.0712,187.647768
1.61,16.08,1.599,15.96,150.749,149.404,152.7,151.73928,151.550784,150.702552,150.419808
1.703,17.4,1.691,17.01,161.023,158.695,160,160.504344,163.99152,159.373368,160.315848
1.67,16.93,1.668,16.58,157.373,155.35,157.6,157.39416,159.561864,157.205664,156.263184
1.647,17.08,1.602,17.39,155.965,158.228,151.4,155.226456,160.975584,150.985296,163.897272
1.827,18.77,1.849,18.51,173.794,172.8,173.5,172.191096,176.903496,174.264552,174.453048
1.877,18.84,1.869,19.07,177.797,176.846,177.8,176.903496,177.563232,176.149512,179.730936
1.66,16.5,1.695,16.58,155.584,156.195,155,156.45168,155.5092,159.75036,156.263184
1.841,18.11,1.776,18.43,173.3,170.026,172,173.510568,170.683128,167.384448,173.699064
1.674,16.95,1.645,17.09,157.728,157.743,152.3,157.771152,159.75036,155.03796,161.069832
1.647,16.9,1.644,16.99,155.537,157.101,156.2,155.226456,159.27912,154.943712,160.127352
1.649,17.33,1.659,17.16,156.712,158.609,159.2,155.414952,163.331784,156.357432,161.729568
1.61,16.08,1.599,15.97,150.749,149.465,152.7,151.73928,151.550784,150.702552,150.514056
1.703,17.5,1.691,17.19,161.26,159.794,160,160.504344,164.934,159.373368,162.012312
1.67,16.89,1.671,16.58,157.278,155.444,157.6,157.39416,159.184872,157.488408,156.263184
1.658,17.08,1.602,17.41,156.809,158.35,151.4,156.263184,160.975584,150.985296,164.085768
1.798,18.78,1.841,19.3,171.592,177.373,172.6,169.457904,176.997744,173.510568,181.89864
1.71,17.43,1.15,17.77,161.631,146.394,153.2,161.16408,164.274264,108.3852,167.478696
1.692,17.86,1.696,17.104,161.271,159.426,159.1,159.467616,168.326928,159.844608,161.2017792
1.913,19.2,1.936,19.6,181.415,182.179,183.4,180.296424,180.95616,182.464128,184.72608
1.798,17.74,1.799,18.26,169.121,169.708,172.3,169.457904,167.195952,169.552152,172.096848
1.837,18.82,1.872,18.65,174.68,174.375,172.9,173.133576,177.374736,176.432256,175.77252
1.921,19.36,1.93,19.62,182.41,182.114,186,181.050408,182.464128,181.89864,184.914576
1.815,18.71,1.803,18.28,172.73,169.956,176.8,171.06012,176.338008,169.929144,172.285344
1.778,18.28,1.801,18.46,168.869,170.992,170,167.572944,172.285344,169.740648,173.981808
1.759,18.14,1.771,18.17,167.079,168.282,164,165.782232,170.965872,166.913208,171.248616
1.818,18.59,1.823,18.14,172.676,169.727,172.9,171.342864,175.207032,171.814104,170.965872
1.805,18.56,1.821,18.53,171.607,172.046,175.3,170.11764,174.924288,171.625608,174.641544
1.879,19.1,1.885,19.11,178.569,177.591,179.8,177.091992,180.01368,177.65748,180.107928
